marca,sku,cat,producto,combinado,url
Acuario,10050019M023971,Quimicos,Imper. Acriterm Terracota 19 litros - 3 Años,Acuario Quimicos Imper. Acriterm Terracota 19 litros - 3 Años,https://s3.amazonaws.com/mx-prod-shared-images/0ecffbc3-5a61-4697-babb-46f68bec0136
Advance,1601100W3031703,Plomería,"Tubo sanitario cementar 160 mm - 6"" x 6 m","Advance Plomería Tubo sanitario cementar 160 mm - 6"" x 6 m",https://s3.amazonaws.com/mx-prod-shared-images/ba1e8a4e-726a-43b5-9438-070d24f20dd5
Advance,1601100W3031701,Plomería,"Tubo sanitario cementar 75 mm - 3"" x 6 m","Advance Plomería Tubo sanitario cementar 75 mm - 3"" x 6 m",https://s3.amazonaws.com/mx-prod-shared-images/a46720a3-ee16-45d4-9d1a-7d8b50165614
Advance,1601300W3031707,Plomería,"Tubo Cpvc Rd13.513 mm - 1/2"" x 6.1 m","Advance Plomería Tubo Cpvc Rd13.513 mm - 1/2"" x 6.1 m",https://s3.amazonaws.com/mx-prod-shared-images/ab3e037d-751c-4597-a7b1-0476b1e4a85d
Advance,1601100W3031702,Plomería,"Tubo sanitario cementar 110 mm - 4"" x 6 m","Advance Plomería Tubo sanitario cementar 110 mm - 4"" x 6 m",https://s3.amazonaws.com/mx-prod-shared-images/9da295db-bed3-4a88-8241-b8bccf9132fa
Advance,1601300W3031708,Plomería,"Tubo Cpvc Rd13.519 mm - 3/4"" x 6.1 m","Advance Plomería Tubo Cpvc Rd13.519 mm - 3/4"" x 6.1 m",https://s3.amazonaws.com/mx-prod-shared-images/0efa03af-821c-42ee-a064-93034c6c6739
Advance,1601100W3031700,Plomería,"Tubo sanitario cementar 50 mm - 2"" x 6 m","Advance Plomería Tubo sanitario cementar 50 mm - 2"" x 6 m",https://s3.amazonaws.com/mx-prod-shared-images/914aeeca-18ab-4600-b0b5-1dd85b44479a
Advance,1601100W3031699,Plomería,"Tubo sanitario cementar 40 mm - 1-1/2"" x 6 m","Advance Plomería Tubo sanitario cementar 40 mm - 1-1/2"" x 6 m",https://s3.amazonaws.com/mx-prod-shared-images/e696a006-17eb-4d6a-8ef3-a0680bc8e0f8
Algreco,150100177003146,Pinturas,Vinilo Premium Tipo 1 Blanco - Balde,Algreco Pinturas Vinilo Premium Tipo 1 Blanco - Balde,https://s3.amazonaws.com/co-prod-shared-images/0eb493ec-b215-41d9-8f18-3a88e5ccf6bc
Algreco,150100177022370,Pinturas,Vinilo Premium Tipo 1 Blanco - Galón,Algreco Pinturas Vinilo Premium Tipo 1 Blanco - Galón,https://s3.amazonaws.com/co-prod-shared-images/480f6f09-1652-4001-8de1-441fe1c0ab56
Algreco,150100177003143,Pinturas,Vinilo Premium Tipo 1 Blanco - Cuñete,Algreco Pinturas Vinilo Premium Tipo 1 Blanco - Cuñete,https://s3.amazonaws.com/co-prod-shared-images/f9dfb232-531b-4aac-a2df-95af89d5a223
Algreco,150100177022371,Pinturas,Vinilo Premium Tipo 2 Blanco - Galón,Algreco Pinturas Vinilo Premium Tipo 2 Blanco - Galón,https://s3.amazonaws.com/co-prod-shared-images/a55b9c91-a8c5-405c-bc76-ca345844c56c
Algreco,150100177003144,Pinturas,Vinilo Premium Tipo 2 Blanco - Cuñete,Algreco Pinturas Vinilo Premium Tipo 2 Blanco - Cuñete,https://s3.amazonaws.com/co-prod-shared-images/31f68fab-c108-4b9a-8498-032b36288d80
Aliança,1604001CF037844,Plomería,Regulador Gás 504/01 1kg/h,Aliança Plomería Regulador Gás 504/01 1kg/h,https://s3.amazonaws.com/br-shared-images/347bd6c9-5fde-4ddf-9870-afb393687e7a
Aliança,1604001CF037843,Plomería,Regulador Gás 505/01 1kg/h,Aliança Plomería Regulador Gás 505/01 1kg/h,https://s3.amazonaws.com/br-shared-images/e2705401-efe1-46dc-839f-dc99f2182c9d
Amanco Wavin,16021152L032590,Plomería,"Reducción Excentrica Sanitario 110 x 75mm - 4"" x 3""","Amanco Wavin Plomería Reducción Excentrica Sanitario 110 x 75mm - 4"" x 3""",https://s3.amazonaws.com/mx-prod-shared-images/30a71bfb-07e5-4df4-9bf8-1c28624cdba9
Amanco Wavin,16021302L032455,Plomería,"Codo 45° PVC Sanitario 110mm - 4"" Cementar","Amanco Wavin Plomería Codo 45° PVC Sanitario 110mm - 4"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/2b659dde-d2f9-4b8a-bc3e-42d3b48fc86b
Amanco Wavin,16021502L032623,Plomería,"Cople PVC Sanitario 75mm - 3"" Cementar","Amanco Wavin Plomería Cople PVC Sanitario 75mm - 3"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/5653dd77-f304-48a7-9a6b-03fb1c77dea5
Amanco Wavin,16022302L032412,Plomería,"Codo 90° CPVC 1/2""","Amanco Wavin Plomería Codo 90° CPVC 1/2""",https://s3.amazonaws.com/mx-prod-shared-images/47803fcc-3914-4bea-a8f1-f065b451f999
Amanco Wavin,16013002L010218,Plomería,"Tubo CPVC RD13.5 1/2"" x 6.1 m","Amanco Wavin Plomería Tubo CPVC RD13.5 1/2"" x 6.1 m",https://s3.amazonaws.com/mx-prod-shared-images/69f856bf-b24c-4c74-81ab-5c57bc5588f3
Amanco Wavin,16013002L010215,Plomería,"Tubo CPVC RD13.5 1/2"" x 3.05 m","Amanco Wavin Plomería Tubo CPVC RD13.5 1/2"" x 3.05 m",https://s3.amazonaws.com/mx-prod-shared-images/0cee969a-ffdc-4d8e-beb1-1839531f6b06
Amanco Wavin,16010012L010268,Plomería,"Tubo PVC Hidráulicos C40 3/4"" x 6 m Espiga/Casquillo","Amanco Wavin Plomería Tubo PVC Hidráulicos C40 3/4"" x 6 m Espiga/Casquillo",https://s3.amazonaws.com/mx-prod-shared-images/919b5d15-8079-47d4-a7a1-30ef4b743be2
Amanco Wavin,16021302L032610,Plomería,"Codo 90° PVC Sanitario 50mm - 2"" Cementar","Amanco Wavin Plomería Codo 90° PVC Sanitario 50mm - 2"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/16ae90fc-9245-41f6-95af-fa0622cd020c
Amanco Wavin,16010012L010269,Plomería,"Tubo PVC Hidráulicos C40 1"" x 6 m Espiga/Casquillo","Amanco Wavin Plomería Tubo PVC Hidráulicos C40 1"" x 6 m Espiga/Casquillo",https://s3.amazonaws.com/mx-prod-shared-images/a42f236a-5d11-4146-9835-ecc8db36e894
Amanco Wavin,16021502L032547,Plomería,"Cople PVC Sanitario 50mm - 2"" Cementar","Amanco Wavin Plomería Cople PVC Sanitario 50mm - 2"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/6e8deb42-87ca-47a3-a571-fe25ca8ecd63
Amanco Wavin,16021502L032667,Plomería,"Cople PVC Sanitario 110mm - 4"" Cementar","Amanco Wavin Plomería Cople PVC Sanitario 110mm - 4"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/704f7eca-2e59-4bad-870d-b5a7186c76e6
Amanco Wavin,16021152L032560,Plomería,"Reducción Excentrica Sanitario 110 x 50mm - 4"" x 2""","Amanco Wavin Plomería Reducción Excentrica Sanitario 110 x 50mm - 4"" x 2""",https://s3.amazonaws.com/mx-prod-shared-images/09394fc9-b854-4a89-9c97-9676b210d8f7
Amanco Wavin,16021602L032662,Plomería,"Yee Sanitario Cementar 110mm - 4""","Amanco Wavin Plomería Yee Sanitario Cementar 110mm - 4""",https://s3.amazonaws.com/mx-prod-shared-images/9927e620-7d43-4d62-9656-593ff9abb201
Amanco Wavin,16021402L032796,Plomería,"Tee Sanitario Cementar 50mm - 2""","Amanco Wavin Plomería Tee Sanitario Cementar 50mm - 2""",https://s3.amazonaws.com/mx-prod-shared-images/7380a3ad-7c32-40a2-be61-877b1b77688b
Amanco Wavin,16010012L010267,Plomería,"Tubo PVC Hidráulicos C40 1/2""x 6 m Espiga/Casquillo","Amanco Wavin Plomería Tubo PVC Hidráulicos C40 1/2""x 6 m Espiga/Casquillo",https://s3.amazonaws.com/mx-prod-shared-images/542b1276-c07b-42b4-a7a3-c40a01184c6e
Amanco Wavin,16021302L032510,Plomería,"Codo 90° PVC Sanitario 40mm - 1-1/2"" Cementar","Amanco Wavin Plomería Codo 90° PVC Sanitario 40mm - 1-1/2"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/ec6339d5-15e1-4ee1-abd7-51528d147007
Amanco Wavin,16013002L010219,Plomería,"Tubo CPVC RD13.5 3/4"" x 6.1 m","Amanco Wavin Plomería Tubo CPVC RD13.5 3/4"" x 6.1 m",https://s3.amazonaws.com/mx-prod-shared-images/5df6d1de-fbac-40bb-ac95-f58df0974f4c
Amanco Wavin,16021302L032792,Plomería,"Codo 45° PVC Sanitario 50mm - 2"" Cementar","Amanco Wavin Plomería Codo 45° PVC Sanitario 50mm - 2"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/80477cd7-fd66-4343-9c52-c7fa6045dfd7
Amanco Wavin,16021302L032462,Plomería,"Codo 90° PVC Sanitario 110mm - 4"" Cementar","Amanco Wavin Plomería Codo 90° PVC Sanitario 110mm - 4"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/20c121c4-4666-47de-9015-8f8e4dbdec40
Amanco Wavin,16021402L032454,Plomería,"Tee Reducida Sanitario Cementar 110 x 50mm - 4"" x 2""","Amanco Wavin Plomería Tee Reducida Sanitario Cementar 110 x 50mm - 4"" x 2""",https://s3.amazonaws.com/mx-prod-shared-images/10270ec9-108a-423e-834f-bd6d046986cc
Amanco Wavin,16021302L032427,Plomería,"Codo 90° PVC Sanitario 75mm - 3"" Cementar","Amanco Wavin Plomería Codo 90° PVC Sanitario 75mm - 3"" Cementar",https://s3.amazonaws.com/mx-prod-shared-images/152f9b7e-1917-4648-99de-b321ea9ea8b1
Amanco Wavin,16021602L032676,Plomería,"Yee Reducida Sanitario Cementar 110 x 50mm - 4"" x 2""","Amanco Wavin Plomería Yee Reducida Sanitario Cementar 110 x 50mm - 4"" x 2""",https://s3.amazonaws.com/mx-prod-shared-images/4796c9ce-4ab5-49bb-8ab0-f98275ca03ce
Argos Eléctrica,1704010H7026970,Electricos,Cable RoHS 12 THW-LS / THHW-LS x 100m Rojo,Argos Eléctrica Electricos Cable RoHS 12 THW-LS / THHW-LS x 100m Rojo,https://s3.amazonaws.com/mx-prod-shared-images/85389b58-2ac9-4d87-a4b0-9f165489c3e9
Argos Eléctrica,1704010H7026969,Electricos,Cable RoHS 12 THW-LS / THHW-LS x 100m Negro,Argos Eléctrica Electricos Cable RoHS 12 THW-LS / THHW-LS x 100m Negro,https://s3.amazonaws.com/mx-prod-shared-images/db9f9718-b2b8-4a44-9ba3-712fd492a093
Argos Eléctrica,1704010H7026971,Electricos,Cable RoHS 12 THW-LS / THHW-LS x 100m Verde,Argos Eléctrica Electricos Cable RoHS 12 THW-LS / THHW-LS x 100m Verde,https://s3.amazonaws.com/mx-prod-shared-images/01ce1a0d-d5fd-43f1-aaa4-e148ced98534
Argos Eléctrica,1704010H7026973,Electricos,Cable RoHS 10 THW-LS / THHW-LS x 100m Negro,Argos Eléctrica Electricos Cable RoHS 10 THW-LS / THHW-LS x 100m Negro,https://s3.amazonaws.com/mx-prod-shared-images/ffef2dfb-29bb-4f95-bc71-70d3a636cceb
Ariel,2701001PO071470,"Aseo, Baños y Cocinas",(Sh) Ariel Regular Pague 3 Lleve 5 Kilos,"Ariel Aseo, Baños y Cocinas (Sh) Ariel Regular Pague 3 Lleve 5 Kilos",https://s3.amazonaws.com/co-prod-shared-images/3881678a-971b-4815-af54-ff5d440e8afd
Austromex,2002300FV042700,Herramientas,"778Disco Hum 4-1/2""x1 mm Corte Metal","Austromex Herramientas 778Disco Hum 4-1/2""x1 mm Corte Metal",https://s3.amazonaws.com/mx-prod-shared-images/5c5b71a3-de04-433a-8f19-22a4673a1128
Ave Colombiana,17052107T017082,Electricos,Toma Doble P/Tierra 2P Sobreponer,Ave Colombiana Electricos Toma Doble P/Tierra 2P Sobreponer,https://s3.amazonaws.com/co-prod-shared-images/4f387aa9-5f45-44e3-a890-dc94120bda71
Ave Colombiana,17033007T017093,Electricos,Tableros Monofasica Distrib 4 Circuitos,Ave Colombiana Electricos Tableros Monofasica Distrib 4 Circuitos,https://s3.amazonaws.com/co-prod-shared-images/a0bf947c-0c71-436b-b01b-4270935fad88
Ave Colombiana,17072007T017107,Electricos,Plafón Roseta Paq x 20 und 150W,Ave Colombiana Electricos Plafón Roseta Paq x 20 und 150W,https://s3.amazonaws.com/co-prod-shared-images/d7cad7ac-0a8b-4547-b5b0-da3513769b30
Ave Colombiana,17052107T017067,Electricos,Toma doble P/Tierra Duomo Blanca,Ave Colombiana Electricos Toma doble P/Tierra Duomo Blanca,https://s3.amazonaws.com/co-prod-shared-images/71c22e4d-318f-4816-981a-30866be5b078
Bellota,20062104K025482,Herramientas,Carretilla Antipinchazo Publ (65L) Tolva Metálica Roja,Bellota Herramientas Carretilla Antipinchazo Publ (65L) Tolva Metálica Roja,https://s3.amazonaws.com/co-prod-shared-images/e7d8a86f-7d5d-46c7-b1dd-b1af31a694e7
Bellota,25023104K025430,Herramientas,Machete Rula Súper Confort Bimaterial 24'',Bellota Herramientas Machete Rula Súper Confort Bimaterial 24'',https://s3.amazonaws.com/co-prod-shared-images/1d26809b-8d7d-46bc-af0c-b52fc0f0cf18
Bellota,20062004K026874,Herramientas,Balde Constructor 8 lt,Bellota Herramientas Balde Constructor 8 lt,https://s3.amazonaws.com/co-prod-shared-images/171f676c-a2d7-4f8f-8c47-37e8a50e28d5
Bellota,20015204K025453,Herramientas,Lima 6” triangular tiburón con mango negro,Bellota Herramientas Lima 6” triangular tiburón con mango negro,https://s3.amazonaws.com/co-prod-shared-images/8c2dd364-c68a-4b24-aed5-c705300e62b4
Bellota,20062104K025480,Herramientas,Carretilla Antipinchazo Publ (96L) Tolva Plástica Negra,Bellota Herramientas Carretilla Antipinchazo Publ (96L) Tolva Plástica Negra,https://s3.amazonaws.com/co-prod-shared-images/2d6eaf2b-6f9c-47f8-ace5-1b5a16d461b8
Bexel,19035006V017911,Quimicos-Polvos,ST Blanco x 20 kg,Bexel Quimicos-Polvos ST Blanco x 20 kg,https://s3.amazonaws.com/mx-prod-shared-images/35cc9b91-4a84-463c-b682-196b1d194b37
BIA,1707010T8036260,Electricos,Bombillo LED 9W E27 15000H Luz Blanca,BIA Electricos Bombillo LED 9W E27 15000H Luz Blanca,https://s3.amazonaws.com/co-prod-shared-images/bebfdb1c-c4ee-4791-88ba-252470c18071
Black+Decker,20027206L015436,Herramientas,"Pulidora Angular de 4-1/2"" - 650 W","Black+Decker Herramientas Pulidora Angular de 4-1/2"" - 650 W",https://s3.amazonaws.com/co-prod-shared-images/ba3641cf-ed88-4a82-a32e-49ea9ebba75f
Bler,15013206N011472,Pinturas,Esmalte Maestro Tipo 2 Blanco - 1/4,Bler Pinturas Esmalte Maestro Tipo 2 Blanco - 1/4,https://s3.amazonaws.com/co-prod-shared-images/9b0c087f-ee4d-427e-8e7b-0aaa51026911
Bler,15013106N011487,Pinturas,Anticorrosivo+Esmalte Negro - Galón,Bler Pinturas Anticorrosivo+Esmalte Negro - Galón,https://s3.amazonaws.com/co-prod-shared-images/cd12c29e-ecbd-4716-8f9c-21ee885c1884
Boccherini,18022008H007667,EPP,Gafas de Seguridad Transparente con Ventilación,Boccherini EPP Gafas de Seguridad Transparente con Ventilación,https://s3.amazonaws.com/co-prod-shared-images/b5e822af-22c7-433b-882d-dfadb78bb727
Bosch,200232069003023,Herramientas,"Disco de Corte para metal 4-1/2"" x 1mm x 115mm","Bosch Herramientas Disco de Corte para metal 4-1/2"" x 1mm x 115mm",https://s3.amazonaws.com/co-prod-shared-images/1dd9bd29-a07f-4114-9e3c-069a1e4c3596
Bosch,200232069003024,Herramientas,"Disco de Corte para metal 7"" x 1.6mm x 180mm","Bosch Herramientas Disco de Corte para metal 7"" x 1.6mm x 180mm",https://s3.amazonaws.com/co-prod-shared-images/687b3d31-7879-4a9b-9d6a-0d44aa05158b
Boxer,120320062031228,Quimicos,(Sh) Boxer Evolución 100 cc,Boxer Quimicos (Sh) Boxer Evolución 100 cc,https://s3.amazonaws.com/co-prod-shared-images/a81b72c9-abab-46ee-9823-9aacd4cb1eae
Bronco,15030019O013214,Quimicos-Polvos,Estuco Acrílico Interior Galón x 6 kg,Bronco Quimicos-Polvos Estuco Acrílico Interior Galón x 6 kg,https://s3.amazonaws.com/co-prod-shared-images/80252a10-82b8-4e00-9028-6af862281db4
Bronco,15031009O013216,Quimicos-Polvos,Estuco Acrílico Exterior Cuñete x 30 kg,Bronco Quimicos-Polvos Estuco Acrílico Exterior Cuñete x 30 kg,https://s3.amazonaws.com/co-prod-shared-images/20f54dd9-b264-4787-9c74-5108a0b68e56
byp,1501700R5037480,Pinturas,Aerosol Súper Negro Brillante 400 ml,byp Pinturas Aerosol Súper Negro Brillante 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/8f727d56-a896-41ed-a333-37b8bd37ef3f
byp,1501700R5037481,Pinturas,Aerosol Súper Blanco Brillante 400 ml,byp Pinturas Aerosol Súper Blanco Brillante 400 ml,https://s3.amazonaws.com/mx-prod-shared-images/fb4e7b50-cb3c-47e7-9cd3-91126c89b6da
C.A Mejía & Cía,12016008S016152,Ferretería,"Puntilla Lisa CC 1"" - in 400 g","C.A Mejía & Cía Ferretería Puntilla Lisa CC 1"" - in 400 g",https://s3.amazonaws.com/co-prod-shared-images/d316af1b-3550-4b0e-8727-f926830806d2
C.A Mejía & Cía,12016008S016145,Ferretería,"Clavo Acero Vertical 3-1/2"" - in ALU","C.A Mejía & Cía Ferretería Clavo Acero Vertical 3-1/2"" - in ALU",https://s3.amazonaws.com/co-prod-shared-images/15c63496-fc0f-47d9-8bc6-8622802f10cd
C.A Mejía & Cía,12016008S016156,Ferretería,"Puntilla Lisa CC 3"" - in 400 g","C.A Mejía & Cía Ferretería Puntilla Lisa CC 3"" - in 400 g",https://s3.amazonaws.com/co-prod-shared-images/d2f7a0aa-533d-427f-b63a-bcc1be98a141
C.A Mejía & Cía,12016008S016153,Ferretería,"Puntilla Lisa CC 1-1/2"" - in 400 g","C.A Mejía & Cía Ferretería Puntilla Lisa CC 1-1/2"" - in 400 g",https://s3.amazonaws.com/co-prod-shared-images/5dbd582b-1b35-472c-b32a-5df2c8677ad0
C.A Mejía & Cía,12011508S016179,Ferretería,"Tornillo Drywall R.O 6 | 1"" x 500 und - Pleg","C.A Mejía & Cía Ferretería Tornillo Drywall R.O 6 | 1"" x 500 und - Pleg",https://s3.amazonaws.com/co-prod-shared-images/6a99286f-6717-4058-a13e-7c3d7fc5d3c3
C.A Mejía & Cía,12016008S016146,Ferretería,"Clavo Acero Vertical - 4"" - in ALU","C.A Mejía & Cía Ferretería Clavo Acero Vertical - 4"" - in ALU",https://s3.amazonaws.com/co-prod-shared-images/11a5ad28-a7d8-4496-84c7-69f269ee270a
C.A Mejía & Cía,12011508S016177,Ferretería,"Tornillo Drywall R.O 6 | 1/2"" x 500 und - Pleg","C.A Mejía & Cía Ferretería Tornillo Drywall R.O 6 | 1/2"" x 500 und - Pleg",https://s3.amazonaws.com/co-prod-shared-images/d6fd39c4-8755-4509-9d52-cf415fbb5406
C.A Mejía & Cía,12016008S016142,Ferretería,"Clavo Acero Vertical - 2"" in ALU","C.A Mejía & Cía Ferretería Clavo Acero Vertical - 2"" in ALU",https://s3.amazonaws.com/co-prod-shared-images/b5244931-740a-482b-abf1-bd465a1dc02d
C.A Mejía & Cía,12010108S016220,Ferretería,Grapa Plast. Red - # 9 x 50 und,C.A Mejía & Cía Ferretería Grapa Plast. Red - # 9 x 50 und,https://s3.amazonaws.com/co-prod-shared-images/d0b536c9-52fa-418c-8405-7e96f028d0e7
C.A Mejía & Cía,12016008S016154,Ferretería,"Puntilla Lisa CC - 2"" - in 400 grs","C.A Mejía & Cía Ferretería Puntilla Lisa CC - 2"" - in 400 grs",https://s3.amazonaws.com/co-prod-shared-images/6ba11113-7a3c-4a3e-807c-2935c65f3d06
C.A Mejía & Cía,12016008S016133,Ferretería,"Clavo Acero Liso 1-1/2"" Concreto","C.A Mejía & Cía Ferretería Clavo Acero Liso 1-1/2"" Concreto",https://s3.amazonaws.com/co-prod-shared-images/c1afd402-29cb-453a-880c-9faa7b5f0804
C.A Mejía & Cía,12016008S016151,Ferretería,"Puntilla Lisa CC 3/4"" - in 400 g","C.A Mejía & Cía Ferretería Puntilla Lisa CC 3/4"" - in 400 g",https://s3.amazonaws.com/co-prod-shared-images/c81b566b-7d69-4ff3-a5c4-fb10d1f48f2c
C.A Mejía & Cía,12016008S016155,Ferretería,"Puntilla Lisa CC 2-1/2"" - in 400 g","C.A Mejía & Cía Ferretería Puntilla Lisa CC 2-1/2"" - in 400 g",https://s3.amazonaws.com/co-prod-shared-images/42342757-8304-41c4-8ecc-9e486f39c2e6
C.A Mejía & Cía,12016008S016135,Ferretería,"Clavo Acero Liso 2-1/2"" Concreto","C.A Mejía & Cía Ferretería Clavo Acero Liso 2-1/2"" Concreto",https://s3.amazonaws.com/co-prod-shared-images/f51edc9b-4737-4ca7-b98e-7d58940e5616
