Brand,Category,Subcategory,Section,Product,combinado,Sku,Url
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #60 de 9"" x 11"" 50 und","Abracol Lija de Agua #60 de 9"" x 11"" 50 und",20080103O035254,https://s3.amazonaws.com/co-prod-shared-images/c2bcfd40-2a02-4eb1-a71d-dd5ed22e26fb
Abracol,Herramientas,Lijas,Herramientas,"Lija en Rollo Multi-Flex #80 Rollo 4"" x25 m","Abracol Lija en Rollo Multi-Flex #80 Rollo 4"" x25 m",20081003O035375,https://s3.amazonaws.com/co-prod-shared-images/db1f81ef-735c-45c9-afba-9a877b48a75f
Abracol,Herramientas,Discos y Accesorios,Herramientas,"Disco de Corte Tipo 42 de 7"""" x 1/8 x 7/8 A30T","Abracol Disco de Corte Tipo 42 de 7"""" x 1/8 x 7/8 A30T",20023003O035402,https://s3.amazonaws.com/co-prod-shared-images/40fc7ed7-a8b8-4b87-8636-516f2999506f
Abracol,Herramientas,Lijas,Herramientas,"Lija en Rollo Multi-Flex #180 Rollo 4"" x25 m","Abracol Lija en Rollo Multi-Flex #180 Rollo 4"" x25 m",20081003O035379,https://s3.amazonaws.com/co-prod-shared-images/0c426b92-295c-470b-9b34-f49aa73ff80d
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #360 de 9"" x 11"" 50 und","Abracol Lija de Agua #360 de 9"" x 11"" 50 und",20080103O013056,https://s3.amazonaws.com/co-prod-shared-images/416edfde-d0da-40ae-a94e-b3b3622fffbf
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #80 de 9"" x 11"" 50 und","Abracol Lija de Agua #80 de 9"" x 11"" 50 und",20080103O013062,https://s3.amazonaws.com/co-prod-shared-images/e736f04d-e9de-4f7e-a90f-01e602913e2f
Abracol,Herramientas,Lijas,Herramientas,"Lija en Rollo Multi-Flex #60 Rollo 4"" x25 m","Abracol Lija en Rollo Multi-Flex #60 Rollo 4"" x25 m",20081003O035374,https://s3.amazonaws.com/co-prod-shared-images/0e0f1ea9-43ce-41b6-a44e-30b6060fc8ef
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #500 de 9"" x 11"" 50 und","Abracol Lija de Agua #500 de 9"" x 11"" 50 und",20080103O035257,https://s3.amazonaws.com/co-prod-shared-images/3de48f4f-d129-44bd-ba3c-b8ec15993686
Abracol,Herramientas,Lijas,Herramientas,"Lija en Rollomulti-Flex #100 Rollo 4"" x25 m","Abracol Lija en Rollomulti-Flex #100 Rollo 4"" x25 m",20081003O035376,https://s3.amazonaws.com/co-prod-shared-images/650b9070-7d01-4ac5-9ccf-d1087ccff2b2
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #100 de 9"" x 11"" 50 und","Abracol Lija de Agua #100 de 9"" x 11"" 50 und",20080103O035255,https://s3.amazonaws.com/co-prod-shared-images/d6c13cc2-e56a-42c1-88f6-bcab24654017
Abracol,Herramientas,Discos y Accesorios,Herramientas,"Disco de Corte Tipo 42 de 4 1/2"""" x 1/8 x 7/8 A30T","Abracol Disco de Corte Tipo 42 de 4 1/2"""" x 1/8 x 7/8 A30T",20023003O035401,https://s3.amazonaws.com/co-prod-shared-images/68e28257-fab5-4527-82f7-cfe4644b20db
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #280 de 9"" x 11"" 50 und","Abracol Lija de Agua #280 de 9"" x 11"" 50 und",20080103O013055,https://s3.amazonaws.com/co-prod-shared-images/bd5375ba-b702-4875-8c5e-c9f3e6d259e9
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #120 de 9"" x 11"" 50 und","Abracol Lija de Agua #120 de 9"" x 11"" 50 und",20080103O013067,https://s3.amazonaws.com/co-prod-shared-images/4598656c-9bdd-44e0-a452-89a80b8279d6
Abracol,Herramientas,Discos y Accesorios,Herramientas,Disco de Corte Fino Tipo 1 de 4 1/2 x 1 x 7/8  A46T Doble Propósito,Abracol Disco de Corte Fino Tipo 1 de 4 1/2 x 1 x 7/8  A46T Doble Propósito,20023003O035404,https://s3.amazonaws.com/co-prod-shared-images/a0cbd9a5-62bc-4455-9481-57b944c138c7
Abracol,Herramientas,Lijas,Herramientas,"Lija en Rollo Multi-Flex #150 Rollo 4"" x25 m","Abracol Lija en Rollo Multi-Flex #150 Rollo 4"" x25 m",20081003O035378,https://s3.amazonaws.com/co-prod-shared-images/318e3671-dc97-4471-b59a-7541b4997ceb
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #320 de 9"" x 11"" 50 und","Abracol Lija de Agua #320 de 9"" x 11"" 50 und",20080103O013051,https://s3.amazonaws.com/co-prod-shared-images/098837a9-cc56-4536-8a0c-a315d6d2a3cf
Abracol,Herramientas,Lijas,Herramientas,"Lija Roja #600 de 9"""" x 11"""" 50 und","Abracol Lija Roja #600 de 9"""" x 11"""" 50 und",20080103O013060,https://s3.amazonaws.com/co-prod-shared-images/6c7395f8-4bd6-4b63-8f34-e2da5fc4654c
Abracol,Herramientas,Lijas,Herramientas,"Lija de Agua #1000 de 9"" x 11"" 50 und","Abracol Lija de Agua #1000 de 9"" x 11"" 50 und",20080103O013058,https://s3.amazonaws.com/co-prod-shared-images/23e1e984-bba7-4f83-bc9b-82aec6492015
Abracol,Herramientas,Discos y Accesorios,Herramientas,Disco para pulir CD 4-1/2 x 1/4 a 904 Abracol (Mp),Abracol Disco para pulir CD 4-1/2 x 1/4 a 904 Abracol (Mp),20023103O042991,https://s3.amazonaws.com/co-prod-shared-images/7810c595-08b2-49f9-bf7e-67d4887c3329
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Espátula PRO Multiusos 14en1 Inoxidable 3""","Acepint Nespoli Espátula PRO Multiusos 14en1 Inoxidable 3""",1502420D0023533,https://s3.amazonaws.com/co-prod-shared-images/7804b3cc-fc17-471f-b0ce-8da4744defa3
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Mini-Rodillo Completo Antigota  2""/5cm","Acepint Nespoli Mini-Rodillo Completo Antigota  2""/5cm",1502100D0023517,https://s3.amazonaws.com/co-prod-shared-images/8c51257e-1092-44c6-8ab2-9e69f848be1d
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Rodillo ANTIGOTA línea amarilla 12mm  9""","Acepint Nespoli Rodillo ANTIGOTA línea amarilla 12mm  9""",1502100D0023509,https://s3.amazonaws.com/co-prod-shared-images/099bd56d-68f6-4c98-b3e8-924e3db8ef03
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto Rodillo ANTIGOTA Línea Amarilla 9""""","Acepint Nespoli Repuesto Rodillo ANTIGOTA Línea Amarilla 9""""",1502130D0023505,https://s3.amazonaws.com/co-prod-shared-images/476fcfb8-2520-4a11-90e6-03b0698b7000
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,Plástico Cubretodo STANDARD  7 micras 2 x 50 m,Acepint Nespoli Plástico Cubretodo STANDARD  7 micras 2 x 50 m,1502650D0023524,https://s3.amazonaws.com/co-prod-shared-images/4bf2f919-d504-4647-8812-08294c318462
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto Rodillo MONTSERRAT Rugosas 9""""","Acepint Nespoli Repuesto Rodillo MONTSERRAT Rugosas 9""""",1502130D0023506,https://s3.amazonaws.com/co-prod-shared-images/b1d68736-6589-4897-a618-51ff51efbfe4
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Rodillo MONTSERRAT  Rugosas Productividad 9""","Acepint Nespoli Rodillo MONTSERRAT  Rugosas Productividad 9""",1502100D0023510,https://s3.amazonaws.com/co-prod-shared-images/cdf2f732-0fb4-4e7d-abe2-1c27f3e1fd16
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Rodillo  FELT EPOXICO 6mm Woven 9""","Acepint Nespoli Rodillo  FELT EPOXICO 6mm Woven 9""",1502100D0023511,https://s3.amazonaws.com/co-prod-shared-images/f4cab81f-e334-4184-b270-4dd74dbd7a7f
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Maxi-Pro Mix Madera Suave 3""""","Acepint Nespoli Brocha Maxi-Pro Mix Madera Suave 3""""",1502001D0023500,https://s3.amazonaws.com/co-prod-shared-images/12b9566e-5d27-46f6-97d7-bd18833d4908
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto X 5 Mini-Rodillo Antigota 4""/11cm","Acepint Nespoli Repuesto X 5 Mini-Rodillo Antigota 4""/11cm",1502130D0023516,https://s3.amazonaws.com/co-prod-shared-images/ad658c38-3960-42ba-90b3-3df63097cc0f
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Bric-Pro Monobloque Mix Natural 2""","Acepint Nespoli Brocha Bric-Pro Monobloque Mix Natural 2""",1502001D0023492,https://s3.amazonaws.com/co-prod-shared-images/1014cd83-e481-404c-82d0-9dfac15c3d98
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Mini-Rodillo Completo Antigota  4""/11cm","Acepint Nespoli Mini-Rodillo Completo Antigota  4""/11cm",1502100D0023514,https://s3.amazonaws.com/co-prod-shared-images/2f91a7b9-d189-43fe-838a-b28722f0e3be
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Bric-Pro Monobloque Mix Natural 3""","Acepint Nespoli Brocha Bric-Pro Monobloque Mix Natural 3""",1502001D0023494,https://s3.amazonaws.com/co-prod-shared-images/ee6bfc3e-5d75-443d-a678-95760d4ff9fe
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Rodillo + Recambio SAN PEDRO  9""","Acepint Nespoli Rodillo + Recambio SAN PEDRO  9""",1502200D0023541,https://s3.amazonaws.com/co-prod-shared-images/5639f2fb-e326-41ef-828c-09ca5cfeb013
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Maxi-Pro Mix Madera Suave 2,5""","Acepint Nespoli Brocha Maxi-Pro Mix Madera Suave 2,5""",1502001D0023499,https://s3.amazonaws.com/co-prod-shared-images/493d6a95-0475-4eeb-bf16-5418462c5fe8
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Rodillo TRICOLOM Antigota Acabados Finos 9""","Acepint Nespoli Rodillo TRICOLOM Antigota Acabados Finos 9""",1502100D0023508,https://s3.amazonaws.com/co-prod-shared-images/6a3eb1d5-1564-4b32-8559-b10cbb657e14
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Maxi-Pro Mix Madera Suave 1,2""","Acepint Nespoli Brocha Maxi-Pro Mix Madera Suave 1,2""",1502001D0023497,https://s3.amazonaws.com/co-prod-shared-images/bb2d9eba-7d11-4d34-9f80-255fb3424ddf
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Espátula PRO Flexible Inoxidable 6""","Acepint Nespoli Espátula PRO Flexible Inoxidable 6""",1502420D0023531,https://s3.amazonaws.com/co-prod-shared-images/95ee270f-4607-47d8-b760-0cbc4690d174
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Bric-Pro Monobloque Mix Natural 1,5""","Acepint Nespoli Brocha Bric-Pro Monobloque Mix Natural 1,5""",1502001D0023491,https://s3.amazonaws.com/co-prod-shared-images/2077d9cf-7a39-4df1-9653-cf0bd544e5ea
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Aqua-Pro Angular Suave 2""","Acepint Nespoli Brocha Aqua-Pro Angular Suave 2""",1502001D0023502,https://s3.amazonaws.com/co-prod-shared-images/373b8c27-9f70-43ad-be29-7114f4517920
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Bric-Pro Monobloque Mix Natural 1""","Acepint Nespoli Brocha Bric-Pro Monobloque Mix Natural 1""",1502001D0023490,https://s3.amazonaws.com/co-prod-shared-images/56396596-f8b5-4d1f-aa33-551922093e24
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Maxi-Pro Mix Madera Suave 2""""","Acepint Nespoli Brocha Maxi-Pro Mix Madera Suave 2""""",1502001D0023498,https://s3.amazonaws.com/co-prod-shared-images/b130e839-7f92-4a7c-b8fd-56f8330d6272
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,(Sh) Batidor Mezclador  5-10 KGS,Acepint Nespoli (Sh) Batidor Mezclador  5-10 KGS,1502640D0023521,https://s3.amazonaws.com/co-prod-shared-images/a1ba90a2-ae55-424a-b738-94ab52b5a78b
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Espátula Flexible Mango Soft Touch  - 10""","Acepint Nespoli Espátula Flexible Mango Soft Touch  - 10""",1502420D0023534,https://s3.amazonaws.com/co-prod-shared-images/2e477af9-8d65-417a-92aa-f30dcdbf28e0
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Espátula PRO Flexible Inoxidable 4""","Acepint Nespoli Espátula PRO Flexible Inoxidable 4""",1502420D0023530,https://s3.amazonaws.com/co-prod-shared-images/b5963ad2-7062-41dc-b5e3-f5b3396e0416
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"(Sh) Mezclador, ABRE-GALONES, + Homogéneas","Acepint Nespoli (Sh) Mezclador, ABRE-GALONES, + Homogéneas",1502640D0023523,https://s3.amazonaws.com/co-prod-shared-images/14475135-0fce-4520-b6f0-ba2df3c2aba1
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Mini-Rodillo Completo Antigota 6""/15cm","Acepint Nespoli Mini-Rodillo Completo Antigota 6""/15cm",1502100D0023512,https://s3.amazonaws.com/co-prod-shared-images/febc0779-740a-43e6-8fd5-02350f8c79e3
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto X3 Mini-Rodillo Antigota 2""/5cm","Acepint Nespoli Repuesto X3 Mini-Rodillo Antigota 2""/5cm",1502130D0023518,https://s3.amazonaws.com/co-prod-shared-images/b9bd8e89-f357-4266-89e5-db05685414ac
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto Rodillo FELT EPOXICO 9""""","Acepint Nespoli Repuesto Rodillo FELT EPOXICO 9""""",1502130D0023507,https://s3.amazonaws.com/co-prod-shared-images/d150834e-ead7-4efb-982d-fe30b9e8173e
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Bric-Pro Monobloque Mix Natural 4""","Acepint Nespoli Brocha Bric-Pro Monobloque Mix Natural 4""",1502001D0023495,https://s3.amazonaws.com/co-prod-shared-images/71b2e959-7295-4a72-8089-c47399aa46a1
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Espátula PRO Scraper Inoxidable 3""","Acepint Nespoli Espátula PRO Scraper Inoxidable 3""",1502420D0023532,https://s3.amazonaws.com/co-prod-shared-images/73f9db7e-9adc-48d7-b941-9c6d4d0f02d2
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Espátula PRO Flexible Inoxidable 3""","Acepint Nespoli Espátula PRO Flexible Inoxidable 3""",1502420D0023529,https://s3.amazonaws.com/co-prod-shared-images/c7ded3ac-ef98-454e-818d-2823f775ecbf
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto X 2 Mini-Rodillo Antigota 4""/11cm","Acepint Nespoli Repuesto X 2 Mini-Rodillo Antigota 4""/11cm",1502130D0023515,https://s3.amazonaws.com/co-prod-shared-images/3d097283-d426-4127-953a-389024a64dbf
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto Rodillo TRICOLOM Acabado fino 9""""","Acepint Nespoli Repuesto Rodillo TRICOLOM Acabado fino 9""""",1502130D0023504,https://s3.amazonaws.com/co-prod-shared-images/53cd9983-08ef-4bd8-9c89-54354618b395
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Bric-Pro Monobloque Mix Natural 2.5""","Acepint Nespoli Brocha Bric-Pro Monobloque Mix Natural 2.5""",1502001D0023493,https://s3.amazonaws.com/co-prod-shared-images/3070d9e1-7720-4233-93b2-943c983f8f50
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,Kit de constructor de Pintura,Acepint Nespoli Kit de constructor de Pintura,1502200D0023544,https://s3.amazonaws.com/co-prod-shared-images/5e152b31-ce3c-441c-9ba4-2e6a5ad1cce1
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Repuesto X2 Mini-Rodillo Antigota 6""/15cm","Acepint Nespoli Repuesto X2 Mini-Rodillo Antigota 6""/15cm",1502130D0023513,https://s3.amazonaws.com/co-prod-shared-images/afea21c0-8f10-4c25-8525-9d3d1b6e03a6
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Kit de pintura 9"" lisas Band+Rod+Rep+bro+Agi","Acepint Nespoli Kit de pintura 9"" lisas Band+Rod+Rep+bro+Agi",1502200D0023542,https://s3.amazonaws.com/co-prod-shared-images/dd6909bc-9bef-42b6-9e74-3e4222dcb344
Acepint Nespoli,Herramientas,Herramientas Manuales,Herramientas,"Cepillo Alambre Estándar, 4 X 15, 0.33 MM","Acepint Nespoli Cepillo Alambre Estándar, 4 X 15, 0.33 MM",1502500D0023528,https://s3.amazonaws.com/co-prod-shared-images/7474c728-ca57-4ec6-ab5b-386949787816
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,"Brocha Maxi-Pro Mix Madera Suave 4""""","Acepint Nespoli Brocha Maxi-Pro Mix Madera Suave 4""""",1502001D0023501,https://s3.amazonaws.com/co-prod-shared-images/1312472d-1783-4ddd-a91c-be68b3db5fa4
Acepint Nespoli,Pinturas y Acabados,Herramientas de pintura,Herramientas,Rejilla Plástica Carga Rodillos en Cuñetes,Acepint Nespoli Rejilla Plástica Carga Rodillos en Cuñetes,1502600D0023520,https://s3.amazonaws.com/co-prod-shared-images/fa28ebe1-4020-4fe4-a707-161bd21b0319
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Canal Base 9 Long. x 2440 mm,Acerfo Perfil Canal Base 9 Long. x 2440 mm,1101600Y3032292,https://s3.amazonaws.com/co-prod-shared-images/edfbd16f-f33e-47e0-9f0c-9677ab837c2e
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Omega con Reborde Long. x 2440 mm,Acerfo Perfil Omega con Reborde Long. x 2440 mm,1101001Y3032287,https://s3.amazonaws.com/co-prod-shared-images/2f0a3e3f-93be-4dcc-9339-01ed0199b0ca
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Angulo 20 x 30 x 2440 mm,Acerfo Perfil Angulo 20 x 30 x 2440 mm,1101200Y3032285,https://s3.amazonaws.com/co-prod-shared-images/738796a3-513e-4112-a074-45275bd8b9ad
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Canal Base 6 Long. x 2440 mm,Acerfo Perfil Canal Base 6 Long. x 2440 mm,1101600Y3032290,https://s3.amazonaws.com/co-prod-shared-images/5d5919fa-4f8a-44a3-87fb-c8d0dd6a44ad
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Paral Base 6 Long. x 2440 mm,Acerfo Perfil Paral Base 6 Long. x 2440 mm,1101600Y3032289,https://s3.amazonaws.com/co-prod-shared-images/c61f67cb-37f2-49bd-a9ac-8573261170f4
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Angulo 20 x 20 x 2440 mm,Acerfo Perfil Angulo 20 x 20 x 2440 mm,1101200Y3032284,https://s3.amazonaws.com/co-prod-shared-images/243469a7-285a-4d2f-a280-699197b8dacc
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Vigueta Long. x 2440mm,Acerfo Perfil Vigueta Long. x 2440mm,1101100Y3032288,https://s3.amazonaws.com/co-prod-shared-images/2e4cdfd7-cb87-495f-ac57-63d7d5f43556
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Angulo 25 x 25 x 2440 mm,Acerfo Perfil Angulo 25 x 25 x 2440 mm,1101200Y3032286,https://s3.amazonaws.com/co-prod-shared-images/f85e5a21-f26d-4945-9e6e-c706dd751a1b
Acerfo,Hierro y acero,Tubería en Acero y Perfilería,Derivados del acero,Perfil Paral Base 9 Long. x 2440 mm,Acerfo Perfil Paral Base 9 Long. x 2440 mm,1101600Y3032291,https://s3.amazonaws.com/co-prod-shared-images/5e4dc452-7aa1-4407-81db-8e8b4ad4a365
Acerias Paz del Río,Hierro y acero,Rollos y Alambres de Acero,Derivados del acero,Alambre Negro Recocido C17 x 30 kg - Paz del Rio,Acerias Paz del Río Alambre Negro Recocido C17 x 30 kg - Paz del Rio,100221024001064,https://s3.amazonaws.com/co-prod-shared-images/754d5dc5-26be-4ec9-9fc1-47540349c675
Acerias Paz del Río,Hierro y acero,Varillas,Varillas,"Varilla Corrugada G-60 - 1/2"" x 6 m","Acerias Paz del Río Varilla Corrugada G-60 - 1/2"" x 6 m",100201024000706,https://s3.amazonaws.com/co-prod-shared-images/d9867ecf-2905-48f8-90a0-1f850688dc01
Acerias Paz del Río,Hierro y acero,Varillas,Varillas,"Varilla Corrugada G-60 - 3/8"" x 6 m","Acerias Paz del Río Varilla Corrugada G-60 - 3/8"" x 6 m",100201024000704,https://s3.amazonaws.com/co-prod-shared-images/0cadd246-d30b-479b-b661-dd0327285ebd
Acerias Paz del Río,Hierro y acero,Varillas,Varillas,"Varilla Corrugada G-60 - 5/8"" x 6 m","Acerias Paz del Río Varilla Corrugada G-60 - 5/8"" x 6 m",100201024000707,https://s3.amazonaws.com/co-prod-shared-images/37a57bf0-1d1d-418b-83b3-c7fd6746e234
